global_id,chapter,section,section_name,source_question_no,pdf_page_start,pdf_page_end,answer,question
q1,1,tf,是非題,1,1,1,O,稀少性意指可為人們所用的商品或資源其數量要比人們想要的來得少。
q2,1,tf,是非題,2,1,1,X,經濟學是一門研究社會如何平均分配商品與服務的科學。
q3,1,tf,是非題,3,1,1,X,經濟學是一門研究社會如何配置其無限資源的科學。
q4,1,tf,是非題,4,1,1,X,只要小心計畫，我們就可以在不需付出任何代價或成本的情況下，獲取某一 事物。
q5,1,tf,是非題,5,1,1,O,選擇不去聽音樂會而把時間留下來準備考試是一個取捨的例子。
q6,1,tf,是非題,6,1,1,X,效率意指經濟體系中的每一個人都應該得到相同份額的商品與服務。
q7,1,tf,是非題,7,1,1,O,效率指的是經濟餅的大小，而均等指的是整個餅如何切割。
q8,1,tf,是非題,8,1,1,O,一般而言，政府政策無法同時兼顧效率與均等。
q9,1,tf,是非題,9,1,1,O,當一個人在決定如何配置其有限的時間時，她同時面對稀少性與取捨問題。
q10,1,tf,是非題,10,1,1,X,某一行動的機會成本是為了進行該行動所付出的金錢。
q11,1,tf,是非題,11,1,1,X,就大多數學生而言，上大學的最大單項成本是學費。
q12,1,tf,是非題,12,2,2,X,如果會計師的薪資提升了，則表示他們休閒時間的機會成本變低了。
q13,1,tf,是非題,13,2,2,O,邊際變動是既有行動的額外微幅變動。
q14,1,tf,是非題,14,2,2,X,當某一活動的邊際成本增加時，理性的人們一定會選擇不再進行該活動。
q15,1,tf,是非題,15,2,2,X,生命所需的水如此便宜，而不是生命所需的鑽石卻如此昂貴，表示人們是不 理性的。
q16,1,tf,是非題,16,2,2,X,一個理性的決策者會在成本大於效益時採取行動。
q17,1,tf,是非題,17,2,2,O,提高汽油的稅額會鼓勵人們多開較小、較省油的汽車。
q18,1,tf,是非題,18,2,2,X,國與國之間的貿易就像球類競賽那樣，有一方贏且另一方輸。
q19,1,tf,是非題,19,2,2,O,如果沒有國際貿易，我們就不會有今天的生活水準。
q20,1,tf,是非題,20,2,2,X,那一隻看不見的手保證經濟繁榮成果會平均分配給社會的每一個成員。
q21,1,tf,是非題,21,2,2,X,在市場經濟中，每個人基本上都在關心自我利益，所以讓市場自由運作通常 都不會有好的結果。
q22,1,tf,是非題,22,2,2,O,當市場失靈或所得分配非常不平均的情況存在時，政府可以透過一些政策措 施來改善結果。
q23,1,tf,是非題,23,3,3,O,市場失靈指的是讓市場自由運作，並無法使社會資源的配置最有效率的情 況。
q24,1,tf,是非題,24,3,3,O,造成市場失靈的原因包括外部性與市場影響力。
q25,1,tf,是非題,25,3,3,O,我們用一個工人每小時所能生產的商品與服務的數量來衡量一國的生產力。
q26,1,tf,是非題,26,3,3,X,一國人民的生活水準主要決定於該國的物價膨脹率。
q27,1,tf,是非題,27,3,3,X,台灣在 1946 年 5 月至 1949 年 6 月期間物價大幅上漲是因為生產設施遭到大 規模破壞。
q28,1,tf,是非題,28,3,3,O,在短期，一個經濟體系通常不會出現物價膨脹與失業同時下降的結果。
q29,1,tf,是非題,29,3,3,O,如果一個經濟體系短期的目標是要穩定物價，則通常必須付出失業增加的代 價。
q30,1,tf,是非題,30,3,3,X,景氣循環是經濟活動不規則但可以預測的波動。
q31,1,tf,是非題,31,3,3,X,該不該用手機多打一通電話決定於手機通訊帳單中的固定費用。
q32,1,tf,是非題,32,3,3,O,你該不該用手機多打一通電話的決定會受到當時你的時間成本的高低的影 響。
q33,1,tf,是非題,33,3,3,O,我國「假農民」人數大增的現象可以用「人們的行為隨誘因起舞」這個原理 來解釋。
q34,1,mc,單選題,1,4,4,C,經濟一詞源自於希臘字 oikonomos，其意為
q35,1,mc,單選題,2,4,4,C,下列敘述何者正確？
q36,1,mc,單選題,3,4,4,A,經濟學主要環繞在下列何項概念？
q37,1,mc,單選題,4,4,4,A,家戶與整個社會之所以需要作很多決策，是因為
q38,1,mc,單選題,5,4,4,B,社會之所以會有稀少性現象是因為
q39,1,mc,單選題,6,5,5,D,全世界大約有多少比例的國家面臨稀少性問題？
q40,1,mc,單選題,7,5,5,B,經濟學是一門什麼樣的科學？
q41,1,mc,單選題,8,5,5,D,「人們面臨取捨」之原理適用於
q42,1,mc,單選題,9,5,5,C,如果我們追求更高所得水準，則通常必須以下列何者為代價？
q43,1,mc,單選題,10,5,5,D,效率指的是
q44,1,mc,單選題,11,5,6,A,均等指的是
q45,1,mc,單選題,12,6,6,A,下列敘述何者正確？
q46,1,mc,單選題,13,6,6,B,當政府提高高所得者所適用的稅率時，整個社會的
q47,1,mc,單選題,14,6,6,D,妳為獲取某物的機會成本是
q48,1,mc,單選題,15,6,6,D,就大多數學生而言，上大學的最大單項成本是
q49,1,mc,單選題,16,6,6,B,有些天才型的職業球星，高中畢業後即投入職業運動，這是因為
q50,1,mc,單選題,17,7,7,C,理性的人們之所以不再繼續進行某項活動，是因為
q51,1,mc,單選題,18,7,7,B,阿甘不會騎車，但他的朋友送他一輛機車。他想把車整理完後再把它賣掉， 他花了 2 萬元整理。當他要賣車時發現，他的車只能賣 1 萬 5 千元；不過， 他也發現，如果他再花 1 萬元改裝，他的車可以賣到 2 萬 7 千元。阿甘該如 何做？
q52,1,mc,單選題,19,7,7,A,有一個投資客用他僅有的 80 萬元積蓄，再加上跟銀行貸的 120 萬元，買了 一間 200 萬元的小套房。後來，由於金融風暴，他不但失業了，且小套房的 價格跌到只剩 120 萬元。他可以把小套房出租，但租金還不夠付銀行房貸利 息。他也可以再花 40 萬元裝潢，裝潢後的小套房可以賣到 150 萬元。他該 如何做？
q53,1,mc,單選題,20,7,7,D,國會通過強制繫汽車安全帶的法令。下列何者最有可能是最大受益者？
q54,1,mc,單選題,21,7,8,A,假設台北市單獨調高香菸的健康捐。結果，一些台北市的菸民到台北縣買 菸。此一行為最合乎下列哪一個經濟學原理？
q55,1,mc,單選題,22,8,8,D,根據美國的經驗，安全帶法律
q56,1,mc,單選題,23,8,8,C,下列何者可以提高人們搭乘捷運的意願？
q57,1,mc,單選題,24,8,8,D,下列何者會降低人們搭乘捷運的意願？
q58,1,mc,單選題,25,8,8,D,台灣跟下列哪些國家貿易可以受惠？
q59,1,mc,單選題,26,8,9,C,如果一個高工資國家跟一個低工資國家進行貿易，則
q60,1,mc,單選題,27,9,9,B,我們之所以會有現在的生活水準，一個重要原因是
q61,1,mc,單選題,28,9,9,A,國際貿易會
q62,1,mc,單選題,29,9,9,B,下列何者是亞當．斯密在其 1776 年的國富論一書中，所做的著名觀察？
q63,1,mc,單選題,30,9,9,C,今天的中國之所以能夠成為「世界工廠」，一個重要原因是
q64,1,mc,單選題,31,9,9,A,廠商與家戶在市場中互動，他們的決策受到下列何者的引導？
q65,1,mc,單選題,32,10,10,B,「那一隻看不見的手」透過下列何者來引導社會資源的配置？
q66,1,mc,單選題,33,10,10,D,下列敘述何者正確？
q67,1,mc,單選題,34,10,10,B,下列何者是市場失靈的成因？
q68,1,mc,單選題,35,10,10,B,市場失靈指的是
q69,1,mc,單選題,36,10,10,C,政府課徵所得稅的目標之一是
q70,1,mc,單選題,37,10,11,B,＜菸害防治法＞是為了
q71,1,mc,單選題,38,11,11,B,"在 2014 年，美國人的平均所得約 55,000 美元，台灣人的平均所得約"
q72,1,mc,單選題,39,11,11,A,什麼是各國生活水準差異最重要的決定因素？
q73,1,mc,單選題,40,11,11,C,我們以下列何者來衡量一國的生產力？
q74,1,mc,單選題,41,11,11,D,台灣的每人平均所得高於中國主要是因為
q75,1,mc,單選題,42,11,12,A,幾乎在所有巨幅且持續的物價膨脹的案例中，罪魁禍首都是
q76,1,mc,單選題,43,12,12,D,台灣在 1946 年 5 月至 1949 年 6 月的舊台幣期間，當時每年的物價漲幅都在
q77,1,mc,單選題,44,12,12,A,為什麼政府會在 1949 年 6 月 15 日實施以四萬圓舊台幣換一元新台幣的幣制 改革？
q78,1,mc,單選題,45,12,12,B,物價膨脹與下列何者存在短期的取捨關係？
q79,1,mc,單選題,46,12,12,D,一般而言，一個經濟體系的貨幣數量增加會
q80,1,mc,單選題,47,12,12,C,如果一個經濟體系短期的目標是要穩定物價，則必須
q81,1,mc,單選題,48,13,13,D,政策制定者可以透過下列何項政策工具，來影響經濟體系所面臨的物價膨脹 與失業的組合。
q82,1,mc,單選題,49,13,13,D,如果一個經濟體系短期的目標是要降低失業率，則必須
q83,1,mc,單選題,50,13,13,C,物價膨脹與失業的短期取捨關係意味著，在短期，
q84,1,mc,單選題,51,13,13,C,該不該用手機多打一通電話決定於
q85,1,mc,單選題,52,13,13,D,我國「假農民」人數大增的現象可以用下列哪個原理來解釋？
q86,1,mc,單選題,53,14,14,B,你多唱一小時 KTV 的機會成本為
q87,1,mc,單選題,54,14,14,C,"假設你今晚要在附近的飲料店打工 4 小時，時薪為 150 元；但若翹班，不但 領不到錢，還會被罰 1,000 元。對你而言，這 4 小時的痛苦 (如耗費體力與精 神) 為 100 元。突然間，你朋友說他有兩張免費的演唱會公關票，想請你一 起去聽，前後也剛好是你打工的那 4 小時，不過你得出來回的計程車費 400 元。後來你答應你朋友的邀約，這意味著對你而言，這場演唱會的總效益起 碼為"
q88,1,mc,單選題,55,14,14,D,人們會選擇某一機會，是因為
q89,1,mc,單選題,56,14,14,A,假設只有 X 與 Y 兩個機會。如果某甲不選擇 X，是因為
q90,1,mc,單選題,57,14,15,B,假設你有甲、乙與丙三種方案供你選擇，且其總效益分別為 800 元、 700 元與 600 元，同時，其外顯成本分別為 200 元、300 元與 100 元。 在此情況下，
q91,1,mc,單選題,58,15,15,C,下列敘述何者正確？
q92,1,mc,單選題,59,15,15,C,"假設今天是月底且你今晚要在附近的餐廳打工 4 小時，時薪為 200 元；但若 翹班，不但領不到工資，還領不到這個月的全勤獎金 1,000 元。對你而言， 這 4 小時的外顯成本為 500 元。突然間，你心儀的友人邀你今晚出遊，且你 慷慨地答應願意出出遊的所有費用 1,200 元。對你而言，今晚出遊的總效益 可能為"
q93,1,mc,單選題,60,15,15,D,"假設今天是月底且你今晚要在附近的餐廳打工 4 小時，時薪為 200 元；但若 翹班，不但領不到工資，還領不到這個月的全勤獎金 1,000 元。對你而言， 這 4 小時的外顯成本為 300 元。突然間，你心儀的友人邀你今晚出遊，且你 慷慨地答應願意出出遊的所有費用 1,000 元。對你而言，今晚出遊的總效益 可能為"
q94,1,mc,單選題,61,15,15,A,"假設今天是月底且你今晚要在附近的餐廳打工 4 小時，時薪為 200 元；但若 翹班，不但領不到工資，還領不到這個月的全勤獎金 1,000 元。對你而言， 這 4 小時的外顯成本為 600 元。突然間，你的友人邀你今晚去夜店，每人須 分攤的費用為 800 元。後來你拒絕你朋友的邀約，這意味著對你而言，去夜 店的總效益小於"
q95,1,instant,即席測驗,1,16,16,A,下列答案何者最為正確？經濟學是
q96,1,instant,即席測驗,2,16,16,C,你去看電影的機會成本為
q97,1,instant,即席測驗,3,16,16,B,邊際變動
q98,1,instant,即席測驗,4,16,16,D,因為人們會隨誘因起舞，
q99,1,instant,即席測驗,5,16,16,C,如果政府宣布從明天起禁止國際貿易，則國內
q100,1,instant,即席測驗,6,16,16,B,亞當．史密斯的「看不見的手」指的是
q101,1,instant,即席測驗,7,16,16,D,在市場經濟，政府可以
q102,1,instant,即席測驗,8,16,17,D,一些國家其人民的平均生活水準高於其他國家，主要是因為這些國家
q103,1,instant,即席測驗,9,17,17,A,如果一個國家出現巨幅且持續的物價膨脹現象，通常是因為
q104,1,instant,即席測驗,10,17,17,B,如果中央銀行利用貨幣政策工具降低商品與服務的需求，則短期的可能結果 為_____的物價膨脹與_____的失業。
q105,2,tf,是非題,1,18,18,X,由於經濟學家不在實驗室中進行實驗，所以經濟學不算是一門科學。
q106,2,tf,是非題,2,18,18,O,科學的本質在於科學方法：客觀地發展與檢測關於世界如何運作的理論。
q107,2,tf,是非題,3,18,18,X,經濟學家研究一國經濟表現所使用的方法，與其他科學家研究地心引力或物 種進化時所使用的方法並不相同。
q108,2,tf,是非題,4,18,18,O,經濟學家先觀察到某一經濟現象，然後試圖發展出理論來解釋，最後利用更 多的資料來檢測此一理論的解釋能力。
q109,2,tf,是非題,5,18,18,X,經濟學家會蒐集和分析很多不同國家的物價和貨幣數量的資料，來驗證當政 府減太多稅時，會引發高度物價膨脹的理論主張。
q110,2,tf,是非題,6,18,18,X,經濟學家可以藉由操縱一國的貨幣政策，以取得相關的資料，來分析貨幣成 長與物價膨脹是否具顯著正向關係。
q111,2,tf,是非題,7,18,18,O,經濟學家只能在歷史所提供的自然實驗中尋找有用的資料。
q112,2,tf,是非題,8,18,18,X,愈接近實際世界的經濟模型可以使我們更容易了解這個世界。
q113,2,tf,是非題,9,18,18,X,如果經濟學家假設全世界只有兩個國家且只有兩種商品，來研究國際貿易的 影響，則其研究結果是無用的。
q114,2,tf,是非題,10,19,19,X,在分析貨幣政策的長期效果時，經濟學家可能作出所有價格完全固定不變的 假設。
q115,2,tf,是非題,11,19,19,O,在分析貨幣政策的短期效果時，經濟學家可能假設物價不會有大幅度變 動，甚至作出所有價格完全固定不變的極端假設。
q116,2,tf,是非題,12,19,19,O,經濟學家也利用模型來認識世界；經濟模型是由圖形與方程式所建構而成 的。
q117,2,tf,是非題,13,19,19,X,經濟模型試圖包括經濟體系的每一個特徵。
q118,2,tf,是非題,14,19,19,O,所有的模型 (不管是物理學、生物學或經濟學的) 都簡化真實的情況以增進 我們對它們的了解。
q119,2,tf,是非題,15,19,19,X,簡單的循環流程圖只包括兩類決策者：廠商與政府。
q120,2,tf,是非題,16,19,19,X,廠商擁有生產要素並使用生產投入，如勞動、土地與資本 (建築物與機器) 來生產商品與服務。
q121,2,tf,是非題,17,19,19,O,在商品與服務市場 (markets for goods and services)，家戶是買者，而廠商是 賣者。
q122,2,tf,是非題,18,19,19,X,在生產要素市場 (markets for the factors of production)，家戶是買者，而廠商 是賣者。
q123,2,tf,是非題,19,19,19,O,生產要素由家戶流向廠商，而商品與服務則由廠商流向家戶。
